ts,date,jcd,rno,combo,P,rank,payout,stake,status,ret,hit,actual
2026-08-17 15:55:58,20260814,1,7,1-3,0.2775,1,0,1000.0,settled,0.0,0,1-2
2026-08-17 15:55:58,20260814,1,7,3-1,0.2659,2,0,1000.0,settled,0.0,0,1-2
2026-08-17 15:55:58,20260814,1,11,1-2,0.3536,1,170.0,1000.0,settled,1700.0,1,1-2
2026-08-17 15:55:58,20260814,1,11,2-1,0.183,2,0,1000.0,settled,0.0,0,1-2
2026-08-17 15:55:58,20260814,1,12,1-2,0.3067,1,160.0,1000.0,settled,1600.0,1,1-2
2026-08-17 15:55:58,20260814,1,12,2-1,0.1747,2,0,1000.0,settled,0.0,0,1-2
2026-08-17 15:55:58,20260814,2,5,1-4,0.2865,1,0,1000.0,settled,0.0,0,2-1
2026-08-17 15:55:58,20260814,2,5,4-1,0.2171,2,0,1000.0,settled,0.0,0,2-1
2026-08-17 15:55:58,20260814,3,5,1-2,0.3487,1,0,1000.0,settled,0.0,0,2-1
2026-08-17 15:55:58,20260814,3,5,2-1,0.2098,2,520.0,1000.0,settled,5200.0,1,2-1
2026-08-17 15:55:58,20260814,4,8,1-4,0.268,1,0,1000.0,settled,0.0,0,1-6
2026-08-17 15:55:58,20260814,4,8,4-1,0.2235,2,0,1000.0,settled,0.0,0,1-6
2026-08-17 15:55:58,20260814,4,9,1-2,0.3157,1,0,1000.0,settled,0.0,0,1-6
2026-08-17 15:55:58,20260814,4,9,2-1,0.2397,2,0,1000.0,settled,0.0,0,1-6
2026-08-17 15:55:58,20260814,6,8,1-4,0.3072,1,210.0,1000.0,settled,2100.0,1,1-4
2026-08-17 15:55:58,20260814,6,8,4-1,0.2445,2,0,1000.0,settled,0.0,0,1-4
2026-08-17 15:55:58,20260814,6,10,1-3,0.286,1,200.0,1000.0,settled,2000.0,1,1-3
2026-08-17 15:55:58,20260814,6,10,1-4,0.2027,2,0,1000.0,settled,0.0,0,1-3
2026-08-17 15:55:58,20260814,7,8,1-2,0.33,1,0,1000.0,settled,0.0,0,1-5
2026-08-17 15:55:58,20260814,7,8,2-1,0.2846,2,0,1000.0,settled,0.0,0,1-5
2026-08-17 15:55:58,20260814,7,9,1-2,0.2952,1,0,1000.0,settled,0.0,0,1-4
2026-08-17 15:55:58,20260814,7,9,1-4,0.2081,2,390.0,1000.0,settled,3900.0,1,1-4
2026-08-17 15:55:58,20260814,7,10,1-4,0.3272,1,220.0,1000.0,settled,2200.0,1,1-4
2026-08-17 15:55:58,20260814,7,10,4-1,0.1737,2,0,1000.0,settled,0.0,0,1-4
2026-08-17 15:55:58,20260814,8,2,1-3,0.317,1,0,1000.0,settled,0.0,0,3-1
2026-08-17 15:55:58,20260814,8,2,3-1,0.2103,2,390.0,1000.0,settled,3900.0,1,3-1
2026-08-17 15:55:58,20260814,8,6,1-2,0.2992,1,0,1000.0,settled,0.0,0,5-2
2026-08-17 15:55:58,20260814,8,6,2-1,0.2043,2,0,1000.0,settled,0.0,0,5-2
2026-08-17 15:55:58,20260814,8,12,1-2,0.3669,1,230.0,1000.0,settled,2300.0,1,1-2
2026-08-17 15:55:58,20260814,8,12,1-3,0.1431,2,0,1000.0,settled,0.0,0,1-2
2026-08-17 15:55:58,20260814,12,5,1-2,0.3572,1,260.0,1000.0,settled,2600.0,1,1-2
2026-08-17 15:55:58,20260814,12,5,1-4,0.1598,2,0,1000.0,settled,0.0,0,1-2
2026-08-17 15:55:58,20260814,12,8,1-2,0.3879,1,0,1000.0,settled,0.0,0,2-1
2026-08-17 15:55:58,20260814,12,8,2-1,0.1917,2,510.0,1000.0,settled,5100.0,1,2-1
2026-08-17 15:55:58,20260814,12,10,1-2,0.1837,2,0,1000.0,settled,0.0,0,4-1
2026-08-17 15:55:58,20260814,12,10,1-4,0.3564,1,0,1000.0,settled,0.0,0,4-1
2026-08-17 15:55:58,20260814,12,11,1-2,0.348,1,0,1000.0,settled,0.0,0,5-4
2026-08-17 15:55:58,20260814,12,11,2-1,0.1728,2,0,1000.0,settled,0.0,0,5-4
2026-08-17 15:55:58,20260814,12,12,1-2,0.216,2,330.0,1000.0,settled,3300.0,1,1-2
2026-08-17 15:55:58,20260814,12,12,1-4,0.2615,1,0,1000.0,settled,0.0,0,1-2
2026-08-17 15:55:58,20260814,21,2,1-4,0.365,1,220.0,1000.0,settled,2200.0,1,1-4
2026-08-17 15:55:58,20260814,21,2,4-1,0.2102,2,0,1000.0,settled,0.0,0,1-4
2026-08-17 15:55:58,20260814,21,9,1-2,0.2804,1,0,1000.0,settled,0.0,0,1-3
2026-08-17 15:55:58,20260814,21,9,2-1,0.2309,2,0,1000.0,settled,0.0,0,1-3
2026-08-17 15:55:58,20260814,21,10,1-2,0.3506,1,0,1000.0,settled,0.0,0,2-4
2026-08-17 15:55:58,20260814,21,10,2-1,0.1854,2,0,1000.0,settled,0.0,0,2-4
2026-08-17 15:55:58,20260814,22,1,1-2,0.2705,2,0,1000.0,settled,0.0,0,1-4
2026-08-17 15:55:58,20260814,22,1,1-3,0.3004,1,0,1000.0,settled,0.0,0,1-4
2026-08-17 15:55:58,20260814,22,3,1-3,0.3166,1,0,1000.0,settled,0.0,0,3-4
