ts,date,jcd,rno,combo,odds
2026-09-20 12:53:21,20260920,6,4,1-2-3,6.8
2026-09-20 12:53:21,20260920,6,4,1-2-4,17.0
2026-09-20 12:53:21,20260920,6,4,1-2-5,6.6
2026-09-20 12:53:21,20260920,6,4,1-2-6,60.1
2026-09-20 12:53:21,20260920,6,4,1-3-2,13.7
2026-09-20 12:53:21,20260920,6,4,1-3-4,27.2
2026-09-20 12:53:21,20260920,6,4,1-3-5,13.9
2026-09-20 12:53:21,20260920,6,4,1-3-6,71.2
2026-09-20 12:53:21,20260920,6,4,1-4-2,31.7
2026-09-20 12:53:21,20260920,6,4,1-4-3,42.9
2026-09-20 12:53:21,20260920,6,4,1-4-5,35.3
2026-09-20 12:53:21,20260920,6,4,1-4-6,57.3
2026-09-20 12:53:21,20260920,6,4,1-5-2,11.4
2026-09-20 12:53:21,20260920,6,4,1-5-3,15.4
2026-09-20 12:53:21,20260920,6,4,1-5-4,34.3
2026-09-20 12:53:21,20260920,6,4,1-5-6,95.3
2026-09-20 12:53:21,20260920,6,4,1-6-2,173.5
2026-09-20 12:53:21,20260920,6,4,1-6-3,142.5
2026-09-20 12:53:21,20260920,6,4,1-6-4,188.0
2026-09-20 12:53:21,20260920,6,4,1-6-5,161.1
2026-09-20 12:53:21,20260920,6,4,2-1-3,55.2
2026-09-20 12:53:21,20260920,6,4,2-1-4,102.5
2026-09-20 12:53:21,20260920,6,4,2-1-5,38.5
2026-09-20 12:53:21,20260920,6,4,2-1-6,347.1
2026-09-20 12:53:21,20260920,6,4,2-3-1,144.0
2026-09-20 12:53:21,20260920,6,4,2-3-4,237.5
2026-09-20 12:53:21,20260920,6,4,2-3-5,147.1
2026-09-20 12:53:21,20260920,6,4,2-3-6,300.8
2026-09-20 12:53:21,20260920,6,4,2-4-1,193.4
2026-09-20 12:53:21,20260920,6,4,2-4-3,376.1
2026-09-20 12:53:21,20260920,6,4,2-4-5,330.2
2026-09-20 12:53:21,20260920,6,4,2-4-6,588.6
2026-09-20 12:53:21,20260920,6,4,2-5-1,76.4
2026-09-20 12:53:21,20260920,6,4,2-5-3,165.1
2026-09-20 12:53:21,20260920,6,4,2-5-4,157.4
2026-09-20 12:53:21,20260920,6,4,2-5-6,386.8
2026-09-20 12:53:21,20260920,6,4,2-6-1,541.5
2026-09-20 12:53:21,20260920,6,4,2-6-3,588.6
2026-09-20 12:53:21,20260920,6,4,2-6-4,712.6
2026-09-20 12:53:21,20260920,6,4,2-6-5,451.3
2026-09-20 12:53:21,20260920,6,4,3-1-2,78.7
2026-09-20 12:53:21,20260920,6,4,3-1-4,107.4
2026-09-20 12:53:21,20260920,6,4,3-1-5,60.9
2026-09-20 12:53:21,20260920,6,4,3-1-6,307.7
2026-09-20 12:53:21,20260920,6,4,3-2-1,153.8
2026-09-20 12:53:21,20260920,6,4,3-2-4,288.0
2026-09-20 12:53:21,20260920,6,4,3-2-5,150.4
2026-09-20 12:53:21,20260920,6,4,3-2-6,294.3
2026-09-20 12:53:21,20260920,6,4,3-4-1,155.6
2026-09-20 12:53:21,20260920,6,4,3-4-2,294.3
2026-09-20 12:53:21,20260920,6,4,3-4-5,330.2
2026-09-20 12:53:21,20260920,6,4,3-4-6,307.7
2026-09-20 12:53:21,20260920,6,4,3-5-1,127.7
2026-09-20 12:53:21,20260920,6,4,3-5-2,135.3
2026-09-20 12:53:21,20260920,6,4,3-5-4,233.4
2026-09-20 12:53:21,20260920,6,4,3-5-6,300.8
2026-09-20 12:53:21,20260920,6,4,3-6-1,615.4
2026-09-20 12:53:21,20260920,6,4,3-6-2,386.8
2026-09-20 12:53:21,20260920,6,4,3-6-4,615.4
2026-09-20 12:53:21,20260920,6,4,3-6-5,398.2
2026-09-20 12:53:21,20260920,6,4,4-1-2,110.9
2026-09-20 12:53:21,20260920,6,4,4-1-3,159.2
2026-09-20 12:53:21,20260920,6,4,4-1-5,115.7
2026-09-20 12:53:21,20260920,6,4,4-1-6,196.2
2026-09-20 12:53:21,20260920,6,4,4-2-1,205.1
2026-09-20 12:53:21,20260920,6,4,4-2-3,398.2
2026-09-20 12:53:21,20260920,6,4,4-2-5,347.1
2026-09-20 12:53:21,20260920,6,4,4-2-6,483.5
2026-09-20 12:53:21,20260920,6,4,4-3-1,221.9
2026-09-20 12:53:21,20260920,6,4,4-3-2,564.1
2026-09-20 12:53:21,20260920,6,4,4-3-5,541.5
2026-09-20 12:53:21,20260920,6,4,4-3-6,423.1
2026-09-20 12:53:21,20260920,6,4,4-5-1,196.2
2026-09-20 12:53:21,20260920,6,4,4-5-2,276.3
2026-09-20 12:53:21,20260920,6,4,4-5-3,347.1
2026-09-20 12:53:21,20260920,6,4,4-5-6,501.4
2026-09-20 12:53:21,20260920,6,4,4-6-1,376.1
2026-09-20 12:53:21,20260920,6,4,4-6-2,564.1
2026-09-20 12:53:21,20260920,6,4,4-6-3,615.4
2026-09-20 12:53:21,20260920,6,4,4-6-5,902.6
2026-09-20 12:53:21,20260920,6,4,5-1-2,54.5
2026-09-20 12:53:21,20260920,6,4,5-1-3,71.6
2026-09-20 12:53:21,20260920,6,4,5-1-4,150.4
2026-09-20 12:53:21,20260920,6,4,5-1-6,218.3
2026-09-20 12:53:21,20260920,6,4,5-2-1,93.3
2026-09-20 12:53:21,20260920,6,4,5-2-3,165.1
2026-09-20 12:53:21,20260920,6,4,5-2-4,205.1
2026-09-20 12:53:21,20260920,6,4,5-2-6,208.3
2026-09-20 12:53:21,20260920,6,4,5-3-1,131.4
2026-09-20 12:53:21,20260920,6,4,5-3-2,190.7
2026-09-20 12:53:21,20260920,6,4,5-3-4,410.2
2026-09-20 12:53:21,20260920,6,4,5-3-6,229.4
2026-09-20 12:53:21,20260920,6,4,5-4-1,229.4
2026-09-20 12:53:21,20260920,6,4,5-4-2,376.1
2026-09-20 12:53:21,20260920,6,4,5-4-3,564.1
2026-09-20 12:53:21,20260920,6,4,5-4-6,365.9
2026-09-20 12:53:21,20260920,6,4,5-6-1,451.3
2026-09-20 12:53:21,20260920,6,4,5-6-2,451.3
2026-09-20 12:53:21,20260920,6,4,5-6-3,451.3
2026-09-20 12:53:21,20260920,6,4,5-6-4,615.4
2026-09-20 12:53:21,20260920,6,4,6-1-2,376.1
2026-09-20 12:53:21,20260920,6,4,6-1-3,386.8
2026-09-20 12:53:21,20260920,6,4,6-1-4,423.1
2026-09-20 12:53:21,20260920,6,4,6-1-5,676.9
2026-09-20 12:53:21,20260920,6,4,6-2-1,564.1
2026-09-20 12:53:21,20260920,6,4,6-2-3,644.7
