ts,date,jcd,rno,combo,p,odds,kaijin,ev,stake,status,win_combo,hit,payout,ret
2026-08-21 13:06:25,20260820,2,1,1-2-3,1.95,64.0,124.98,1.248,100.0,settled,5-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,1,1-2-5,1.12,149.3,167.78,1.672,100.0,settled,5-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,1,1-2-6,1.62,90.0,145.87,1.458,100.0,settled,5-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,1,1-3-2,1.85,80.2,148.1,1.484,100.0,settled,5-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,1,1-5-2,0.6,288.0,171.88,1.728,100.0,settled,5-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,1,1-5-3,0.57,304.1,172.49,1.733,100.0,settled,5-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,1,1-5-6,0.47,280.1,130.36,1.316,100.0,settled,5-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,1,1-6-5,0.49,260.3,126.95,1.275,100.0,settled,5-6-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,2,1-2-6,0.35,317.1,110.54,1.11,100.0,settled,3-2-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,2,1-3-2,3.73,44.0,163.96,1.641,100.0,settled,3-2-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,2,1-3-6,0.26,445.5,115.96,1.158,100.0,settled,3-2-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,2,1-4-2,1.23,85.8,105.72,1.055,100.0,settled,3-2-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,2,1-4-3,0.96,111.5,106.63,1.07,100.0,settled,3-2-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,2,1-4-6,0.32,357.0,114.56,1.142,100.0,settled,3-2-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,3,1-4-2,1.75,57.7,101.01,1.01,100.0,settled,1-6-4,0,0,0.0
2026-08-21 13:06:25,20260820,2,3,1-4-3,1.45,76.6,111.05,1.111,100.0,settled,1-6-4,0,0,0.0
2026-08-21 13:06:25,20260820,2,3,1-5-2,1.88,61.2,115.17,1.151,100.0,settled,1-6-4,0,0,0.0
2026-08-21 13:06:25,20260820,2,3,1-5-3,1.75,79.2,138.31,1.386,100.0,settled,1-6-4,0,0,0.0
2026-08-21 13:06:25,20260820,2,3,1-5-4,2.53,45.4,115.01,1.149,100.0,settled,1-6-4,0,0,0.0
2026-08-21 13:06:25,20260820,2,4,1-3-5,5.44,57.8,314.71,3.144,100.0,settled,1-2-4,0,0,0.0
2026-08-21 13:06:25,20260820,2,4,1-3-6,1.63,663.5,1082.04,10.815,100.0,settled,1-2-4,0,0,0.0
2026-08-21 13:06:25,20260820,2,4,1-4-6,1.08,486.2,524.61,5.251,100.0,settled,1-2-4,0,0,0.0
2026-08-21 13:06:25,20260820,2,4,1-5-3,3.85,97.2,374.09,3.742,100.0,settled,1-2-4,0,0,0.0
2026-08-21 13:06:25,20260820,2,4,1-5-6,1.08,526.9,571.05,5.691,100.0,settled,1-2-4,0,0,0.0
2026-08-21 13:06:25,20260820,2,4,1-6-3,0.32,1552.0,503.47,4.966,100.0,settled,1-2-4,0,0,0.0
