ts,date,jcd,rno,closed_at,decision,stars,conf,honmei,picks_json,total,reason,status,win_combo,hit,payout,ret,shadow_hit,shadow_ret
2026-08-22 12:18:00,20260822,4,2,12:24,見送り,2,0.1427,1,"[{""combo"": ""1-2-6"", ""P"": 0.1427, ""hit_pct"": 14.3}, {""combo"": ""1-6-2"", ""P"": 0.1408, ""hit_pct"": 14.1}, {""combo"": ""1-2-5"", ""P"": 0.0728, ""hit_pct"": 7.3}]",0,自信度14.3%が基準18%未満。的中率重視は本命が堅いレースだけ買う設計のため見送り。,settled,1-2-6,,,,1,540
2026-08-22 12:18:00,20260822,6,3,12:29,見送り,1,0.0538,4,"[{""combo"": ""4-2-1"", ""P"": 0.0538, ""hit_pct"": 5.4}, {""combo"": ""2-4-1"", ""P"": 0.0464, ""hit_pct"": 4.6}, {""combo"": ""4-1-2"", ""P"": 0.043, ""hit_pct"": 4.3}]",0,自信度5.4%が基準18%未満。的中率重視は本命が堅いレースだけ買う設計のため見送り。,settled,2-4-1,,,,1,5120
2026-08-22 12:18:00,20260822,16,4,12:22,見送り,1,0.0529,1,"[{""combo"": ""1-3-5"", ""P"": 0.0529, ""hit_pct"": 5.3}, {""combo"": ""1-3-6"", ""P"": 0.0526, ""hit_pct"": 5.3}, {""combo"": ""1-5-3"", ""P"": 0.0457, ""hit_pct"": 4.6}]",0,自信度5.3%が基準18%未満。的中率重視は本命が堅いレースだけ買う設計のため見送り。,settled,1-2-5,,,,0,0
2026-08-22 12:18:00,20260822,21,9,12:27,見送り,1,0.0942,1,"[{""combo"": ""1-2-6"", ""P"": 0.0942, ""hit_pct"": 9.4}, {""combo"": ""1-2-3"", ""P"": 0.0657, ""hit_pct"": 6.6}, {""combo"": ""1-2-4"", ""P"": 0.0656, ""hit_pct"": 6.6}]",0,自信度9.4%が基準18%未満。的中率重視は本命が堅いレースだけ買う設計のため見送り。,settled,2-1-5,,,,0,0
2026-08-22 12:38:27,20260822,2,5,12:44,買い,3,0.1927,1,"[{""combo"": ""1-4-5"", ""P"": 0.1927, ""hit_pct"": 19.3, ""odds"": 10.9, ""stake"": 200, ""payout"": 2180}, {""combo"": ""4-1-5"", ""P"": 0.1418, ""hit_pct"": 14.2, ""odds"": 10.5, ""stake"": 200, ""payout"": 2100}, {""combo"": ""1-4-3"", ""P"": 0.1146, ""hit_pct"": 11.5, ""odds"": 10.3, ""stake"": 200, ""payout"": 2060}, {""combo"": ""1-4-2"", ""P"": 0.086, ""hit_pct"": 8.6, ""odds"": 26.4, ""stake"": 200, ""payout"": 5280}, {""combo"": ""4-1-3"", ""P"": 0.0843, ""hit_pct"": 8.4, ""odds"": 17.6, ""stake"": 200, ""payout"": 3520}]",1000,1号艇を本命（イン(1コース)・全国勝率6.02・ST-0.08・展示6.82）。2着候補は1・4号艇、3着候補は2・3・5号艇。上位の的中確率が近いため5点に分散。自信度が基準を超えたレースのみ購入(それ以外は見送り)。,settled,4-5-6,0,0,0,,
2026-08-22 12:38:27,20260822,22,2,12:48,見送り,1,0.0575,1,"[{""combo"": ""1-3-4"", ""P"": 0.0575, ""hit_pct"": 5.8}, {""combo"": ""1-4-3"", ""P"": 0.0565, ""hit_pct"": 5.7}, {""combo"": ""3-1-4"", ""P"": 0.0454, ""hit_pct"": 4.5}]",0,自信度5.8%が基準18%未満。的中率重視は本命が堅いレースだけ買う設計のため見送り。,settled,3-2-5,,,,0,0
2026-08-22 13:08:49,20260822,2,6,13:14,見送り,1,0.0539,5,"[{""combo"": ""5-4-1"", ""P"": 0.0539, ""hit_pct"": 5.4}, {""combo"": ""5-1-4"", ""P"": 0.0496, ""hit_pct"": 5.0}, {""combo"": ""4-5-1"", ""P"": 0.0393, ""hit_pct"": 3.9}]",0,自信度5.4%が基準18%未満。的中率重視は本命が堅いレースだけ買う設計のため見送り。,settled,4-5-6,,,,0,0
2026-08-22 13:08:49,20260822,22,3,13:18,見送り,2,0.134,1,"[{""combo"": ""1-3-5"", ""P"": 0.134, ""hit_pct"": 13.4}, {""combo"": ""3-1-5"", ""P"": 0.1236, ""hit_pct"": 12.4}, {""combo"": ""1-3-2"", ""P"": 0.0673, ""hit_pct"": 6.7}]",0,自信度13.4%が基準18%未満。的中率重視は本命が堅いレースだけ買う設計のため見送り。,settled,5-1-3,,,,0,0
2026-08-22 13:46:24,20260822,3,7,13:56,見送り,1,0.1008,1,"[{""combo"": ""1-6-2"", ""P"": 0.1008, ""hit_pct"": 10.1}, {""combo"": ""1-2-6"", ""P"": 0.0829, ""hit_pct"": 8.3}, {""combo"": ""6-1-2"", ""P"": 0.0828, ""hit_pct"": 8.3}]",0,自信度10.1%が基準18%未満。的中率重視は本命が堅いレースだけ買う設計のため見送り。,settled,1-2-5,,,,0,0
2026-08-22 13:46:24,20260822,4,5,13:55,見送り,1,0.0925,4,"[{""combo"": ""4-1-5"", ""P"": 0.0925, ""hit_pct"": 9.2}, {""combo"": ""4-5-1"", ""P"": 0.0908, ""hit_pct"": 9.1}, {""combo"": ""1-4-5"", ""P"": 0.0591, ""hit_pct"": 5.9}]",0,自信度9.2%が基準18%未満。的中率重視は本命が堅いレースだけ買う設計のため見送り。,settled,2-4-5,,,,0,0
